Problem,Method,Acquisition,Best_J_mean,Best_J_std,fm_evals_mean,fm_evals_std,Wall_time_mean,Wall_time_std,Final_regret_mean,Final_regret_std,J_optimal,n_reps
Rastrigin,nlp,N/A,4.17882502764618,1.462282880356225,950.4,35.561777233428586,0.015314300000318326,0.0014162371126818895,4.17882502764618,1.462282880356225,0.0,5
Rastrigin,blackbox,ei,10.79065283405062,5.7114435659641165,105.0,0.0,10.291781166599685,1.3878020121727193,10.79065283405062,5.7114435659641165,0.0,5
Rastrigin,bilevel,ei,0.10501596534170936,0.20332529960658635,105.0,0.0,6.355512450200331,0.21263639465264517,0.10501596534170936,0.20332529960658635,0.0,5
Rosen-Suzuki,nlp,N/A,-44.00000026670506,1.7079369176001564e-07,1067.6,13.062924634246345,0.030922683200333267,0.0006259599511124226,-2.6670505661741115e-07,1.7079369176001564e-07,-44.0,5
Rosen-Suzuki,blackbox,ei,-18.584668001309325,21.204357526856892,105.0,0.0,10.243959757999983,0.2648498696081745,25.41533199869067,21.20435752685689,-44.0,5
Rosen-Suzuki,bilevel,ei,-43.81290111643355,0.14969127957020087,105.0,0.0,11.880225966600118,0.5631869343095782,0.18709888356644483,0.14969127957020087,-44.0,5
Toy-Hydrology,nlp,N/A,0.5997878850707762,1.2874131368559106e-07,812.6,52.25552602356999,0.023968717000389005,0.0012636130768448202,-1.2114929223794313e-05,1.2874131368559106e-07,0.5998,5
Toy-Hydrology,blackbox,ei,0.7982677868194774,0.05096543094900831,105.0,0.0,10.496353350000572,0.5726803967209799,0.1984677868194774,0.05096543094900831,0.5998,5
Toy-Hydrology,bilevel,ei,0.6002110182728633,0.00043960853755830936,105.0,0.0,7.796177750199422,0.3817523388365566,0.00041101827286322835,0.00043960853755830936,0.5998,5
CSTR,nlp,N/A,92.32404615910414,7.563615997297743e-11,2458.0,179.60957658209654,0.07526155039886362,0.005929200630725377,-4.615910414429436e-05,7.563615997297743e-11,92.324,5
CSTR,blackbox,ei,89.63103131323949,0.6983927012525433,105.0,0.0,9.18970694180025,0.3405881189385991,2.692968686760506,0.6983927012525433,92.324,5
CSTR,bilevel,ei,92.22997867463232,0.06563699884375065,105.0,0.0,11.226594150000164,0.5519354780603963,0.09402132536768307,0.06563699884375065,92.324,5
