problem,short,n_wb,n_bb,n_g,total_dim,bb_mean,bb_std,bi_mean,bi_std,regret_ratio,W_stat,p_raw,r_rb,cliffs_d,effect_interp,n_valid,p_adjusted,significant,stars
Batch-Reactor,Batch,3,2,2,5,0.289383901170861,0.05792760726004996,0.0004426005354976059,0.0002049586459696963,653.8263692914721,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
CSTR,CSTR,3,2,2,5,0.3358932243517998,0.09585371850306885,0.0019549900309357325,0.0010395651363302382,171.81326709427185,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Distillation,Distill.,3,2,3,5,5212.672517320142,2237.5391774387754,0.0050492740223489815,0.0032605549422043524,1032360.7897388674,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Evaporator,Evap.,3,2,2,5,0.37601687082264257,0.12547115778878537,0.0013029850863593762,0.00045676446692428165,288.5811010111081,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Heat-Exchanger,HEN,3,2,2,5,70.56286099543844,62.796827911634544,4.912838903692318e-07,2.8720482308759073e-07,143629502.97923642,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Membrane,Memb.,3,2,2,5,1.2061577414857525,0.7690616699236896,9.074235387274144e-06,8.219163715483972e-06,132921.14321580064,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
PSA,PSA,3,2,2,5,0.09052550714842711,0.029065092854161756,8.537738122833538e-05,0.00023477626630421595,1060.298475381008,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Rastrigin,Rast.,2,1,0,3,3.007042004196908,2.399002991345751,3.148528158192221e-08,7.155139434778174e-08,95506276.36512707,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Rosen-Suzuki,R-S,2,2,3,4,5.789219065424362,2.6115392800416743,0.022292689350647522,0.03528479084349411,259.69137120982697,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Small-Feasible-Region,SFR-1,1,1,1,2,0.01564204509065501,0.015651640587373238,0.018325301734221332,0.028124565649213926,0.8535764004062476,25.0,0.845703125,0.09090909090909094,0.18,negligible,10,0.845703125,False,
Small-Feasible-Region-2,SFR-2,1,1,1,2,0.05722841024993255,0.052206711925571574,2.1182939826691617e-05,5.830962165160722e-05,2701.6273811919978,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Toy-Hydrology,Hydro.,1,1,2,2,0.02080404567364873,0.013975312721425858,2.6978246983477837e-05,6.394227031042295e-05,771.1414936037044,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Williams-Otto,W-O,3,2,2,5,0.9721227414766274,0.5402446919805243,5.879434832589681e-06,4.566718183395221e-06,165342.88909678112,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
