problem,short,bb_time_mean,bb_time_std,bi_time_mean,bi_time_std,time_ratio,p_time,comparable
Batch-Reactor,Batch,38.38889058455825,0.6789939952690179,182.96382257104852,4.442184646379277,4.766061737784234,0.001953125,False
CSTR,CSTR,38.1051034475211,0.6481683893238134,102.84295640182681,1.4393454054398254,2.6989286761408118,0.001953125,False
Distillation,Distill.,38.49056518566795,0.5353570142135287,86.95266720037907,1.9700301973849017,2.259064442960066,0.001953125,False
Evaporator,Evap.,41.124349813349546,3.4563766076359883,122.24033917533234,5.411832190942851,2.9724564577955075,0.001953125,False
Heat-Exchanger,HEN,38.0438957687933,0.3752646406439124,81.37823420152999,2.0926747421657055,2.1390615381793534,0.001953125,False
Membrane,Memb.,38.16562642650679,1.1665233112635425,76.67444706014358,1.5222972241515031,2.008992233044854,0.001953125,False
PSA,PSA,37.74582900870591,0.5219453384973015,112.69135377048515,15.971057903570687,2.985531295245718,0.001953125,False
Rastrigin,Rast.,40.7712930098176,1.2478208649058398,72.25020030657761,3.9281300718006045,1.7720850866608522,0.001953125,True
Rosen-Suzuki,R-S,39.46995262745768,0.7541694315031731,145.95083787166513,9.733170059996205,3.6977707890668436,0.001953125,False
Small-Feasible-Region,SFR-1,45.53601315547712,2.0166523680738044,965.2849166544154,67.22541189719303,21.19827472287854,0.001953125,False
Small-Feasible-Region-2,SFR-2,44.65561576555483,1.519261553397792,67.95283446623944,1.5113342917110482,1.5217085981525071,0.001953125,True
Toy-Hydrology,Hydro.,44.97440499952063,2.568812545738708,92.37065946310759,3.8269109508478008,2.0538495053818306,0.001953125,False
