problem,Problem,BB final,Bi final,BB target (med),Bi target (med),Bi iters to match BB,Bi iters q25,Bi iters q75,Bi reach frac,BB iters to match Bi,BB reach frac,Savings (iters),Savings frac
Batch-Reactor,Batch,0.289383901170861,0.0004634828672573033,0.29255026593562494,0.0003413911258376423,0.0,0.0,1.0,1.0,200.0,0.0,200.0,1.0
CSTR,CSTR,0.33811866678345837,0.00186930490196886,0.34401964369880744,0.001618505722348118,1.0,1.0,1.0,1.0,200.0,0.0,199.0,0.995
Distillation,Distill.,3621.9468084986765,0.0033675150541967016,3766.0646196519847,0.002293974347594485,0.0,0.0,0.0,1.0,200.0,0.0,200.0,1.0
Evaporator,Evap.,0.3840854025333583,0.014494352981556435,0.4282742211044763,0.008002167399943527,1.0,0.0,9.75,1.0,200.0,0.0,199.0,0.995
Heat-Exchanger,HEN,37.12758237704238,3.642793217295548e-07,34.40459689378088,3.7686908171963296e-07,0.0,0.0,0.0,1.0,200.0,0.0,200.0,1.0
Membrane,Memb.,1.2409659757035671,4.278820635654768e-05,1.4178403960750057,3.517786745987905e-05,0.0,0.0,0.0,1.0,200.0,0.0,200.0,1.0
PSA,PSA,0.10441820496659227,0.0029881125762009743,0.092981109508325,0.003015906493923304,0.0,0.0,0.0,1.0,200.0,0.0,200.0,1.0
Rastrigin,Rast.,1.846414156292861,0.0026456198821705355,1.8855046378289142,0.0006532080302132925,0.5,0.0,1.0,1.0,200.0,0.0,199.5,0.9975
Rosen-Suzuki,R-S,4.878534404364499,0.02432898833827295,5.289608521846002,0.0014776808528331742,0.0,0.0,0.0,1.0,200.0,0.0,200.0,1.0
Small-Feasible-Region,SFR-1,0.004765900453523597,0.0004363198899999587,0.003130162962731775,4.752865941581863e-05,54.5,46.25,91.0,1.0,200.0,0.0,145.5,0.7275
Small-Feasible-Region-2,SFR-2,0.02430079890207206,3.087140586233161e-06,0.014309763496597738,6.077077380206575e-07,1.0,0.25,2.5,1.0,200.0,0.0,199.0,0.995
Toy-Hydrology,Hydro.,0.011370178729484693,1.0514158485852575e-06,0.012436886456052676,4.2640603881149985e-07,0.0,0.0,0.0,1.0,200.0,0.0,200.0,1.0
Williams-Otto,W-O,0.8250728360508998,7.941820233892116e-06,0.8474020219966087,5.805708894524031e-06,0.0,0.0,0.0,1.0,200.0,0.0,200.0,1.0
