problem,short,n_wb,n_bb,n_g,total_dim,bi_variant,bi_key,bb_mean,bb_std,bi_mean,bi_std,regret_ratio,W_stat,p_raw,r_rb,cliffs_d,effect_interp,n_valid,p_adjusted,significant,stars
Batch-Reactor,Batch,3,2,2,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.289383901170861,0.05792760726004996,0.0004634828672573033,0.00042303415377511024,624.368065390018,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
CSTR,CSTR,3,2,2,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.33811866678345837,0.09127177259719456,0.00186930490196886,0.0009705312600757647,180.87935597201516,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Distillation,Distill.,3,2,3,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,3621.9468084986765,587.0244074908741,0.0033675150541967016,0.0028643354567263433,1075554.7488896581,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Evaporator,Evap.,3,2,2,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.3840854025333583,0.11503019141939715,0.014494352981556435,0.013670789240642897,26.498968461861924,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Heat-Exchanger,HEN,3,2,2,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,37.12758237704238,15.372924016107905,3.642793217295548e-07,1.465822249957188e-07,101920642.10717492,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Membrane,Memb.,3,2,2,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,1.2409659757035671,0.8049257910519584,4.278820635654768e-05,3.944773777477229e-05,29002.523858158125,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
PSA,PSA,3,2,2,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.10441820496659227,0.03501727325501746,0.0029881125762009743,0.0021182988485659603,34.94453515514715,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Rastrigin,Rast.,2,1,0,3,Bi-BO (SLSQP),bilevel_bo_ei_multistart,1.846414156292861,0.9094470683627447,0.0026456198821705355,0.0033242707240435663,697.9136227151479,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Rosen-Suzuki,R-S,2,2,3,4,Bi-BO (SLSQP),bilevel_bo_ei_multistart,4.878534404364499,2.2631822966317316,0.02432898833827295,0.045418145825001095,200.52352101669072,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Small-Feasible-Region,SFR-1,1,1,1,2,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.004765900453523597,0.004758149613821319,0.0004363198899999587,0.0005915949919827699,10.922950254511772,2.0,0.005859375,0.9272727272727272,0.82,large,10,0.025390625,True,*
Small-Feasible-Region-2,SFR-2,1,1,1,2,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.02430079890207206,0.02074009812160663,3.087140586233161e-06,4.6733247137525295e-06,7871.620427796321,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Toy-Hydrology,Hydro.,1,1,2,2,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.011370178729484693,0.00798931169702112,1.32574703144428e-06,1.7427211921618515e-06,8576.43159653009,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Williams-Otto,W-O,3,2,2,5,Bi-BO (SLSQP),bilevel_bo_ei_multistart,0.8250728360508998,0.3693396954658542,7.941820233892116e-06,6.308922070376724e-06,103889.63886765657,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Batch-Reactor,Batch,3,2,2,5,Bi-BO (BH),bilevel_bo_ei_global,0.289383901170861,0.05792760726004996,0.0003428138419497628,0.00020611737093531693,844.1429888740267,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
CSTR,CSTR,3,2,2,5,Bi-BO (BH),bilevel_bo_ei_global,0.33811866678345837,0.09127177259719456,0.0016301940244161984,0.0009181548861374155,207.41007617454903,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Distillation,Distill.,3,2,3,5,Bi-BO (BH),bilevel_bo_ei_global,3621.9468084986765,587.0244074908741,0.007786981541539717,0.007307137930241886,465128.4697642304,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Evaporator,Evap.,3,2,2,5,Bi-BO (BH),bilevel_bo_ei_global,0.3840854025333583,0.11503019141939715,0.025437911351313725,0.034156612282389455,15.098936277782196,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Heat-Exchanger,HEN,3,2,2,5,Bi-BO (BH),bilevel_bo_ei_global,37.12758237704238,15.372924016107905,3.004844074894208e-07,1.5061625828971747e-07,123559098.08181822,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Membrane,Memb.,3,2,2,5,Bi-BO (BH),bilevel_bo_ei_global,1.2409659757035671,0.8049257910519584,2.683112049073344e-05,4.9743600171588197e-05,46250.993361688146,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
PSA,PSA,3,2,2,5,Bi-BO (BH),bilevel_bo_ei_global,0.10441820496659227,0.03501727325501746,0.0009859937464551938,0.001844971267738926,105.90148805912058,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Rastrigin,Rast.,2,1,0,3,Bi-BO (BH),bilevel_bo_ei_global,1.846414156292861,0.9094470683627447,2.5529197600349107e-08,3.441581532847993e-08,72325585.2063134,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
Rosen-Suzuki,R-S,2,2,3,4,Bi-BO (BH),bilevel_bo_ei_global,4.878534404364499,2.2631822966317316,0.05665713384061562,0.09901679645240818,86.10626894908758,0.0,0.001953125,1.0,1.0,large,10,0.025390625,True,*
