problem,short,bi_variant,bi_key,bb_time_mean,bb_time_std,bi_time_mean,bi_time_std,time_ratio,p_time,comparable
Batch-Reactor,Batch,Bi-BO (SLSQP),bilevel_bo_ei_multistart,301.10670208223166,14.005773569750248,215.80605398626068,11.660534657531285,0.7167095667213825,0.001953125,True
Batch-Reactor,Batch,Bi-BO (BH),bilevel_bo_ei_global,301.10670208223166,14.005773569750248,338.8225042562466,8.534593679593025,1.1252572656576565,0.001953125,True
CSTR,CSTR,Bi-BO (SLSQP),bilevel_bo_ei_multistart,326.2218198664021,22.171920249828812,201.16338617717847,3.8317976557050137,0.6166460179137039,0.001953125,True
CSTR,CSTR,Bi-BO (BH),bilevel_bo_ei_global,326.2218198664021,22.171920249828812,264.7103230687324,3.973466142569662,0.8114427268450022,0.001953125,True
Distillation,Distill.,Bi-BO (SLSQP),bilevel_bo_ei_multistart,260.2149934120942,12.996040087092242,181.7864888434764,6.908858480800625,0.6986011315481231,0.001953125,True
Distillation,Distill.,Bi-BO (BH),bilevel_bo_ei_global,260.2149934120942,12.996040087092242,231.38830287260936,5.726180841635712,0.8892197172749653,0.001953125,True
Evaporator,Evap.,Bi-BO (SLSQP),bilevel_bo_ei_multistart,307.2587803808507,11.763722067695676,212.0529735205695,13.331791921933512,0.6901445526071786,0.001953125,True
Evaporator,Evap.,Bi-BO (BH),bilevel_bo_ei_global,307.2587803808507,11.763722067695676,249.26919571156614,10.675081741044293,0.8112679331819068,0.001953125,True
Heat-Exchanger,HEN,Bi-BO (SLSQP),bilevel_bo_ei_multistart,284.4317394690588,16.342116176490727,199.71333007407375,11.899568572184297,0.7021485381584817,0.001953125,True
Heat-Exchanger,HEN,Bi-BO (BH),bilevel_bo_ei_global,284.4317394690588,16.342116176490727,229.76132503799164,15.947578406115463,0.8077907390605599,0.001953125,True
Membrane,Memb.,Bi-BO (SLSQP),bilevel_bo_ei_multistart,273.7275504012126,18.986879929181804,214.30487686372362,19.02491233490456,0.7829130701298025,0.001953125,True
Membrane,Memb.,Bi-BO (BH),bilevel_bo_ei_global,273.7275504012126,18.986879929181804,274.14118328779006,32.64551650486677,1.0015111116362645,0.845703125,True
PSA,PSA,Bi-BO (SLSQP),bilevel_bo_ei_multistart,315.18664718503135,16.11827010166935,183.57297507273034,62.64799667833582,0.582426243980327,0.001953125,True
PSA,PSA,Bi-BO (BH),bilevel_bo_ei_global,315.18664718503135,16.11827010166935,275.402119694883,17.386517370961094,0.8737747050978569,0.005859375,True
Rastrigin,Rast.,Bi-BO (SLSQP),bilevel_bo_ei_multistart,246.21001758724452,13.497528678427225,103.76785964220763,2.628056023194003,0.4214607539493696,0.001953125,False
Rastrigin,Rast.,Bi-BO (BH),bilevel_bo_ei_global,246.21001758724452,13.497528678427225,167.9527459715493,2.1849006151352333,0.6821523657624339,0.001953125,True
Rosen-Suzuki,R-S,Bi-BO (SLSQP),bilevel_bo_ei_multistart,280.9685088811442,16.755825792943252,232.7257763165515,13.090369860565932,0.8282984354485063,0.00390625,True
Rosen-Suzuki,R-S,Bi-BO (BH),bilevel_bo_ei_global,280.9685088811442,16.755825792943252,355.70712411524727,24.526388817740305,1.2660035301882144,0.001953125,True
Small-Feasible-Region,SFR-1,Bi-BO (SLSQP),bilevel_bo_ei_multistart,207.09973278325052,9.047206294112135,141.14199770959095,11.28942983651367,0.6815170440480935,0.001953125,True
Small-Feasible-Region,SFR-1,Bi-BO (BH),bilevel_bo_ei_global,207.09973278325052,9.047206294112135,825.7630521881395,208.13923073321192,3.987272417451058,0.001953125,False
Small-Feasible-Region-2,SFR-2,Bi-BO (SLSQP),bilevel_bo_ei_multistart,197.1736166091636,8.47619791546961,122.49110516468063,2.200332710240817,0.6212347639161167,0.001953125,True
Small-Feasible-Region-2,SFR-2,Bi-BO (BH),bilevel_bo_ei_global,197.1736166091636,8.47619791546961,149.50109093980865,2.0915403075051033,0.7582205647530869,0.001953125,True
Toy-Hydrology,Hydro.,Bi-BO (SLSQP),bilevel_bo_ei_multistart,215.70642372546718,14.270179966430424,115.7834911385551,6.640768846271724,0.5367642239802487,0.001953125,True
Toy-Hydrology,Hydro.,Bi-BO (BH),bilevel_bo_ei_global,215.70642372546718,14.270179966430424,173.26631579487585,10.718132478815242,0.8032506070166668,0.001953125,True
Williams-Otto,W-O,Bi-BO (SLSQP),bilevel_bo_ei_multistart,272.9087527607102,13.115585968647753,325.58278286261486,4.629681718760409,1.1930096765642761,0.001953125,True
Williams-Otto,W-O,Bi-BO (BH),bilevel_bo_ei_global,272.9087527607102,13.115585968647753,3130.211734664673,28.020094186372205,11.469810707790973,0.001953125,False
